,지역,시도명,시군구명,읍면동명
70,서울특별시 종로구 명륜2가 ,서울특별시,종로구,명륜2가
71,서울특별시 종로구 명륜4가 ,서울특별시,종로구,명륜4가
72,서울특별시 종로구 명륜3가 ,서울특별시,종로구,명륜3가
73,서울특별시 종로구 창신동 ,서울특별시,종로구,창신동
74,서울특별시 종로구 숭인동 ,서울특별시,종로구,숭인동
75,서울특별시 종로구 교남동 ,서울특별시,종로구,교남동
76,서울특별시 종로구 평동 ,서울특별시,종로구,평동
77,서울특별시 종로구 송월동 ,서울특별시,종로구,송월동
78,서울특별시 종로구 홍파동 ,서울특별시,종로구,홍파동
79,서울특별시 종로구 교북동 ,서울특별시,종로구,교북동
80,서울특별시 종로구 행촌동 ,서울특별시,종로구,행촌동
81,서울특별시 종로구 구기동 ,서울특별시,종로구,구기동
82,서울특별시 종로구 평창동 ,서울특별시,종로구,평창동
83,서울특별시 종로구 부암동 ,서울특별시,종로구,부암동
84,서울특별시 종로구 홍지동 ,서울특별시,종로구,홍지동
85,서울특별시 종로구 신영동 ,서울특별시,종로구,신영동
86,서울특별시 종로구 무악동 ,서울특별시,종로구,무악동
87,서울특별시 중구 무교동 ,서울특별시,중구,무교동
88,서울특별시 중구 다동 ,서울특별시,중구,다동
89,서울특별시 중구 태평로1가 ,서울특별시,중구,태평로1가
90,서울특별시 중구 을지로1가 ,서울특별시,중구,을지로1가
91,서울특별시 중구 을지로2가 ,서울특별시,중구,을지로2가
92,서울특별시 중구 남대문로1가 ,서울특별시,중구,남대문로1가
93,서울특별시 중구 삼각동 ,서울특별시,중구,삼각동
94,서울특별시 중구 수하동 ,서울특별시,중구,수하동
95,서울특별시 중구 장교동 ,서울특별시,중구,장교동
96,서울특별시 중구 수표동 ,서울특별시,중구,수표동
97,서울특별시 중구 소공동 ,서울특별시,중구,소공동
98,서울특별시 중구 남창동 ,서울특별시,중구,남창동
99,서울특별시 중구 북창동 ,서울특별시,중구,북창동
100,서울특별시 중구 태평로2가 ,서울특별시,중구,태평로2가
101,서울특별시 중구 남대문로2가 ,서울특별시,중구,남대문로2가
102,서울특별시 중구 남대문로3가 ,서울특별시,중구,남대문로3가
103,서울특별시 중구 남대문로4가 ,서울특별시,중구,남대문로4가
104,서울특별시 중구 남대문로5가 ,서울특별시,중구,남대문로5가
105,서울특별시 중구 봉래동1가 ,서울특별시,중구,봉래동1가
106,서울특별시 중구 봉래동2가 ,서울특별시,중구,봉래동2가
107,서울특별시 중구 회현동1가 ,서울특별시,중구,회현동1가
108,서울특별시 중구 회현동2가 ,서울특별시,중구,회현동2가
109,서울특별시 중구 회현동3가 ,서울특별시,중구,회현동3가
110,서울특별시 중구 충무로1가 ,서울특별시,중구,충무로1가
111,서울특별시 중구 충무로2가 ,서울특별시,중구,충무로2가
112,서울특별시 중구 명동1가 ,서울특별시,중구,명동1가
113,서울특별시 중구 명동2가 ,서울특별시,중구,명동2가
114,서울특별시 중구 남산동1가 ,서울특별시,중구,남산동1가
115,서울특별시 중구 남산동2가 ,서울특별시,중구,남산동2가
116,서울특별시 중구 남산동3가 ,서울특별시,중구,남산동3가
117,서울특별시 중구 저동1가 ,서울특별시,중구,저동1가
118,서울특별시 중구 충무로4가 ,서울특별시,중구,충무로4가
119,서울특별시 중구 충무로5가 ,서울특별시,중구,충무로5가
120,서울특별시 중구 인현동2가 ,서울특별시,중구,인현동2가
121,서울특별시 중구 예관동 ,서울특별시,중구,예관동
122,서울특별시 중구 묵정동 ,서울특별시,중구,묵정동
123,서울특별시 중구 필동1가 ,서울특별시,중구,필동1가
124,서울특별시 중구 필동2가 ,서울특별시,중구,필동2가
125,서울특별시 중구 필동3가 ,서울특별시,중구,필동3가
126,서울특별시 중구 남학동 ,서울특별시,중구,남학동
127,서울특별시 중구 주자동 ,서울특별시,중구,주자동
128,서울특별시 중구 예장동 ,서울특별시,중구,예장동
129,서울특별시 중구 장충동1가 ,서울특별시,중구,장충동1가
130,서울특별시 중구 장충동2가 ,서울특별시,중구,장충동2가
131,서울특별시 중구 광희동1가 ,서울특별시,중구,광희동1가
132,서울특별시 중구 광희동2가 ,서울특별시,중구,광희동2가
133,서울특별시 중구 쌍림동 ,서울특별시,중구,쌍림동
134,서울특별시 중구 을지로6가 ,서울특별시,중구,을지로6가
135,서울특별시 중구 을지로7가 ,서울특별시,중구,을지로7가
136,서울특별시 중구 을지로4가 ,서울특별시,중구,을지로4가
137,서울특별시 중구 을지로5가 ,서울특별시,중구,을지로5가
138,서울특별시 중구 주교동 ,서울특별시,중구,주교동
139,서울특별시 중구 방산동 ,서울특별시,중구,방산동
140,서울특별시 중구 오장동 ,서울특별시,중구,오장동
141,서울특별시 중구 을지로3가 ,서울특별시,중구,을지로3가
142,서울특별시 중구 입정동 ,서울특별시,중구,입정동
143,서울특별시 중구 산림동 ,서울특별시,중구,산림동
144,서울특별시 중구 충무로3가 ,서울특별시,중구,충무로3가
145,서울특별시 중구 초동 ,서울특별시,중구,초동
146,서울특별시 중구 인현동1가 ,서울특별시,중구,인현동1가
147,서울특별시 중구 저동2가 ,서울특별시,중구,저동2가
148,서울특별시 중구 신당동 ,서울특별시,중구,신당동
149,서울특별시 중구 흥인동 ,서울특별시,중구,흥인동
150,서울특별시 중구 무학동 ,서울특별시,중구,무학동
151,서울특별시 중구 황학동 ,서울특별시,중구,황학동
152,서울특별시 중구 서소문동 ,서울특별시,중구,서소문동
153,서울특별시 중구 정동 ,서울특별시,중구,정동
154,서울특별시 중구 순화동 ,서울특별시,중구,순화동
155,서울특별시 중구 의주로1가 ,서울특별시,중구,의주로1가
156,서울특별시 중구 충정로1가 ,서울특별시,중구,충정로1가
157,서울특별시 중구 중림동 ,서울특별시,중구,중림동
158,서울특별시 중구 의주로2가 ,서울특별시,중구,의주로2가
159,서울특별시 중구 만리동1가 ,서울특별시,중구,만리동1가
160,서울특별시 중구 만리동2가 ,서울특별시,중구,만리동2가
161,서울특별시 용산구 후암동 ,서울특별시,용산구,후암동
162,서울특별시 용산구 용산동2가 ,서울특별시,용산구,용산동2가
163,서울특별시 용산구 용산동4가 ,서울특별시,용산구,용산동4가
164,서울특별시 용산구 갈월동 ,서울특별시,용산구,갈월동
165,서울특별시 용산구 남영동 ,서울특별시,용산구,남영동
166,서울특별시 용산구 용산동1가 ,서울특별시,용산구,용산동1가
167,서울특별시 용산구 동자동 ,서울특별시,용산구,동자동
168,서울특별시 용산구 서계동 ,서울특별시,용산구,서계동
169,서울특별시 용산구 청파동1가 ,서울특별시,용산구,청파동1가
170,서울특별시 용산구 청파동2가 ,서울특별시,용산구,청파동2가
171,서울특별시 용산구 청파동3가 ,서울특별시,용산구,청파동3가
172,서울특별시 용산구 원효로1가 ,서울특별시,용산구,원효로1가
173,서울특별시 용산구 원효로2가 ,서울특별시,용산구,원효로2가
174,서울특별시 용산구 신창동 ,서울특별시,용산구,신창동
175,서울특별시 용산구 산천동 ,서울특별시,용산구,산천동
176,서울특별시 용산구 청암동 ,서울특별시,용산구,청암동
177,서울특별시 용산구 원효로3가 ,서울특별시,용산구,원효로3가
178,서울특별시 용산구 원효로4가 ,서울특별시,용산구,원효로4가
179,서울특별시 용산구 효창동 ,서울특별시,용산구,효창동
180,서울특별시 용산구 도원동 ,서울특별시,용산구,도원동
181,서울특별시 용산구 용문동 ,서울특별시,용산구,용문동
182,서울특별시 용산구 문배동 ,서울특별시,용산구,문배동
183,서울특별시 용산구 신계동 ,서울특별시,용산구,신계동
184,서울특별시 용산구 한강로1가 ,서울특별시,용산구,한강로1가
185,서울특별시 용산구 한강로2가 ,서울특별시,용산구,한강로2가
186,서울특별시 용산구 용산동3가 ,서울특별시,용산구,용산동3가
187,서울특별시 용산구 용산동5가 ,서울특별시,용산구,용산동5가
188,서울특별시 용산구 한강로3가 ,서울특별시,용산구,한강로3가
189,서울특별시 용산구 이촌동 ,서울특별시,용산구,이촌동
190,서울특별시 용산구 이태원동 ,서울특별시,용산구,이태원동
191,서울특별시 용산구 한남동 ,서울특별시,용산구,한남동
192,서울특별시 용산구 동빙고동 ,서울특별시,용산구,동빙고동
193,서울특별시 용산구 서빙고동 ,서울특별시,용산구,서빙고동
194,서울특별시 용산구 주성동 ,서울특별시,용산구,주성동
195,서울특별시 용산구 용산동6가 ,서울특별시,용산구,용산동6가
196,서울특별시 용산구 보광동 ,서울특별시,용산구,보광동
197,서울특별시 성동구 상왕십리동 ,서울특별시,성동구,상왕십리동
198,서울특별시 성동구 하왕십리동 ,서울특별시,성동구,하왕십리동
199,서울특별시 성동구 홍익동 ,서울특별시,성동구,홍익동
200,서울특별시 성동구 도선동 ,서울특별시,성동구,도선동
201,서울특별시 성동구 마장동 ,서울특별시,성동구,마장동
202,서울특별시 성동구 사근동 ,서울특별시,성동구,사근동
203,서울특별시 성동구 행당동 ,서울특별시,성동구,행당동
204,서울특별시 성동구 응봉동 ,서울특별시,성동구,응봉동
205,서울특별시 성동구 금호동1가 ,서울특별시,성동구,금호동1가
206,서울특별시 성동구 금호동2가 ,서울특별시,성동구,금호동2가
207,서울특별시 성동구 금호동3가 ,서울특별시,성동구,금호동3가
208,서울특별시 성동구 금호동4가 ,서울특별시,성동구,금호동4가
209,서울특별시 성동구 옥수동 ,서울특별시,성동구,옥수동
210,서울특별시 성동구 성수동1가 ,서울특별시,성동구,성수동1가
211,서울특별시 성동구 성수동2가 ,서울특별시,성동구,성수동2가
212,서울특별시 성동구 송정동 ,서울특별시,성동구,송정동
213,서울특별시 성동구 용답동 ,서울특별시,성동구,용답동
214,서울특별시 광진구 중곡동 ,서울특별시,광진구,중곡동
215,서울특별시 광진구 능동 ,서울특별시,광진구,능동
216,서울특별시 광진구 구의동 ,서울특별시,광진구,구의동
217,서울특별시 광진구 광장동 ,서울특별시,광진구,광장동
218,서울특별시 광진구 자양동 ,서울특별시,광진구,자양동
219,서울특별시 광진구 화양동 ,서울특별시,광진구,화양동
220,서울특별시 광진구 군자동 ,서울특별시,광진구,군자동
221,서울특별시 동대문구 신설동 ,서울특별시,동대문구,신설동
222,서울특별시 동대문구 용두동 ,서울특별시,동대문구,용두동
223,서울특별시 동대문구 제기동 ,서울특별시,동대문구,제기동
224,서울특별시 동대문구 전농동 ,서울특별시,동대문구,전농동
225,서울특별시 동대문구 답십리동 ,서울특별시,동대문구,답십리동
226,서울특별시 동대문구 장안동 ,서울특별시,동대문구,장안동
227,서울특별시 동대문구 청량리동 ,서울특별시,동대문구,청량리동
228,서울특별시 동대문구 회기동 ,서울특별시,동대문구,회기동
229,서울특별시 동대문구 휘경동 ,서울특별시,동대문구,휘경동
230,서울특별시 동대문구 이문동 ,서울특별시,동대문구,이문동
231,서울특별시 중랑구 면목동 ,서울특별시,중랑구,면목동
232,서울특별시 중랑구 상봉동 ,서울특별시,중랑구,상봉동
233,서울특별시 중랑구 중화동 ,서울특별시,중랑구,중화동
234,서울특별시 중랑구 묵동 ,서울특별시,중랑구,묵동
235,서울특별시 중랑구 망우동 ,서울특별시,중랑구,망우동
236,서울특별시 중랑구 신내동 ,서울특별시,중랑구,신내동
237,서울특별시 성북구 성북동 ,서울특별시,성북구,성북동
238,서울특별시 성북구 성북동1가 ,서울특별시,성북구,성북동1가
239,서울특별시 성북구 돈암동 ,서울특별시,성북구,돈암동
240,서울특별시 성북구 동소문동1가 ,서울특별시,성북구,동소문동1가
241,서울특별시 성북구 동소문동2가 ,서울특별시,성북구,동소문동2가
242,서울특별시 성북구 동소문동3가 ,서울특별시,성북구,동소문동3가
243,서울특별시 성북구 동소문동4가 ,서울특별시,성북구,동소문동4가
244,서울특별시 성북구 동소문동5가 ,서울특별시,성북구,동소문동5가
245,서울특별시 성북구 동소문동6가 ,서울특별시,성북구,동소문동6가
246,서울특별시 성북구 동소문동7가 ,서울특별시,성북구,동소문동7가
247,서울특별시 성북구 삼선동1가 ,서울특별시,성북구,삼선동1가
248,서울특별시 성북구 삼선동2가 ,서울특별시,성북구,삼선동2가
249,서울특별시 성북구 삼선동3가 ,서울특별시,성북구,삼선동3가
250,서울특별시 성북구 삼선동4가 ,서울특별시,성북구,삼선동4가
251,서울특별시 성북구 삼선동5가 ,서울특별시,성북구,삼선동5가
252,서울특별시 성북구 동선동1가 ,서울특별시,성북구,동선동1가
253,서울특별시 성북구 동선동2가 ,서울특별시,성북구,동선동2가
254,서울특별시 성북구 동선동3가 ,서울특별시,성북구,동선동3가
255,서울특별시 성북구 동선동4가 ,서울특별시,성북구,동선동4가
256,서울특별시 성북구 동선동5가 ,서울특별시,성북구,동선동5가
257,서울특별시 성북구 안암동1가 ,서울특별시,성북구,안암동1가
258,서울특별시 성북구 안암동2가 ,서울특별시,성북구,안암동2가
259,서울특별시 성북구 안암동3가 ,서울특별시,성북구,안암동3가
260,서울특별시 성북구 안암동4가 ,서울특별시,성북구,안암동4가
261,서울특별시 성북구 안암동5가 ,서울특별시,성북구,안암동5가
262,서울특별시 성북구 보문동4가 ,서울특별시,성북구,보문동4가
263,서울특별시 성북구 보문동5가 ,서울특별시,성북구,보문동5가
264,서울특별시 성북구 보문동6가 ,서울특별시,성북구,보문동6가
265,서울특별시 성북구 보문동7가 ,서울특별시,성북구,보문동7가
266,서울특별시 성북구 보문동1가 ,서울특별시,성북구,보문동1가
267,서울특별시 성북구 보문동2가 ,서울특별시,성북구,보문동2가
268,서울특별시 성북구 보문동3가 ,서울특별시,성북구,보문동3가
269,서울특별시 성북구 정릉동 ,서울특별시,성북구,정릉동
270,서울특별시 성북구 길음동 ,서울특별시,성북구,길음동
271,서울특별시 성북구 종암동 ,서울특별시,성북구,종암동
272,서울특별시 성북구 하월곡동 ,서울특별시,성북구,하월곡동
273,서울특별시 성북구 상월곡동 ,서울특별시,성북구,상월곡동
274,서울특별시 성북구 장위동 ,서울특별시,성북구,장위동
275,서울특별시 성북구 석관동 ,서울특별시,성북구,석관동
276,서울특별시 강북구 미아동 ,서울특별시,강북구,미아동
277,서울특별시 강북구 번동 ,서울특별시,강북구,번동
278,서울특별시 강북구 수유동 ,서울특별시,강북구,수유동
279,서울특별시 강북구 우이동 ,서울특별시,강북구,우이동
280,서울특별시 도봉구 쌍문동 ,서울특별시,도봉구,쌍문동
281,서울특별시 도봉구 방학동 ,서울특별시,도봉구,방학동
282,서울특별시 도봉구 창동 ,서울특별시,도봉구,창동
283,서울특별시 도봉구 도봉동 ,서울특별시,도봉구,도봉동
284,서울특별시 노원구 월계동 ,서울특별시,노원구,월계동
285,서울특별시 노원구 공릉동 ,서울특별시,노원구,공릉동
286,서울특별시 노원구 하계동 ,서울특별시,노원구,하계동
287,서울특별시 노원구 상계동 ,서울특별시,노원구,상계동
288,서울특별시 노원구 중계동 ,서울특별시,노원구,중계동
289,서울특별시 은평구 수색동 ,서울특별시,은평구,수색동
290,서울특별시 은평구 녹번동 ,서울특별시,은평구,녹번동
291,서울특별시 은평구 불광동 ,서울특별시,은평구,불광동
292,서울특별시 은평구 갈현동 ,서울특별시,은평구,갈현동
293,서울특별시 은평구 구산동 ,서울특별시,은평구,구산동
294,서울특별시 은평구 대조동 ,서울특별시,은평구,대조동
295,서울특별시 은평구 응암동 ,서울특별시,은평구,응암동
296,서울특별시 은평구 역촌동 ,서울특별시,은평구,역촌동
297,서울특별시 은평구 신사동 ,서울특별시,은평구,신사동
298,서울특별시 은평구 증산동 ,서울특별시,은평구,증산동
299,서울특별시 은평구 진관동 ,서울특별시,은평구,진관동
300,서울특별시 서대문구 충정로2가 ,서울특별시,서대문구,충정로2가
301,서울특별시 서대문구 충정로3가 ,서울특별시,서대문구,충정로3가
302,서울특별시 서대문구 합동 ,서울특별시,서대문구,합동
303,서울특별시 서대문구 미근동 ,서울특별시,서대문구,미근동
304,서울특별시 서대문구 냉천동 ,서울특별시,서대문구,냉천동
305,서울특별시 서대문구 천연동 ,서울특별시,서대문구,천연동
306,서울특별시 서대문구 옥천동 ,서울특별시,서대문구,옥천동
307,서울특별시 서대문구 영천동 ,서울특별시,서대문구,영천동
308,서울특별시 서대문구 현저동 ,서울특별시,서대문구,현저동
309,서울특별시 서대문구 북아현동 ,서울특별시,서대문구,북아현동
310,서울특별시 서대문구 홍제동 ,서울특별시,서대문구,홍제동
311,서울특별시 서대문구 대현동 ,서울특별시,서대문구,대현동
312,서울특별시 서대문구 대신동 ,서울특별시,서대문구,대신동
313,서울특별시 서대문구 신촌동 ,서울특별시,서대문구,신촌동
314,서울특별시 서대문구 봉원동 ,서울특별시,서대문구,봉원동
315,서울특별시 서대문구 창천동 ,서울특별시,서대문구,창천동
316,서울특별시 서대문구 연희동 ,서울특별시,서대문구,연희동
317,서울특별시 서대문구 홍은동 ,서울특별시,서대문구,홍은동
318,서울특별시 서대문구 북가좌동 ,서울특별시,서대문구,북가좌동
319,서울특별시 서대문구 남가좌동 ,서울특별시,서대문구,남가좌동
320,서울특별시 마포구 아현동 ,서울특별시,마포구,아현동
321,서울특별시 마포구 공덕동 ,서울특별시,마포구,공덕동
322,서울특별시 마포구 신공덕동 ,서울특별시,마포구,신공덕동
323,서울특별시 마포구 도화동 ,서울특별시,마포구,도화동
324,서울특별시 마포구 용강동 ,서울특별시,마포구,용강동
325,서울특별시 마포구 토정동 ,서울특별시,마포구,토정동
326,서울특별시 마포구 마포동 ,서울특별시,마포구,마포동
327,서울특별시 마포구 대흥동 ,서울특별시,마포구,대흥동
328,서울특별시 마포구 염리동 ,서울특별시,마포구,염리동
329,서울특별시 마포구 노고산동 ,서울특별시,마포구,노고산동
330,서울특별시 마포구 신수동 ,서울특별시,마포구,신수동
331,서울특별시 마포구 현석동 ,서울특별시,마포구,현석동
332,서울특별시 마포구 구수동 ,서울특별시,마포구,구수동
333,서울특별시 마포구 창전동 ,서울특별시,마포구,창전동
334,서울특별시 마포구 상수동 ,서울특별시,마포구,상수동
335,서울특별시 마포구 하중동 ,서울특별시,마포구,하중동
336,서울특별시 마포구 신정동 ,서울특별시,마포구,신정동
337,서울특별시 마포구 당인동 ,서울특별시,마포구,당인동
338,서울특별시 마포구 서교동 ,서울특별시,마포구,서교동
339,서울특별시 마포구 동교동 ,서울특별시,마포구,동교동
340,서울특별시 마포구 합정동 ,서울특별시,마포구,합정동
341,서울특별시 마포구 망원동 ,서울특별시,마포구,망원동
342,서울특별시 마포구 연남동 ,서울특별시,마포구,연남동
343,서울특별시 마포구 성산동 ,서울특별시,마포구,성산동
344,서울특별시 마포구 중동 ,서울특별시,마포구,중동
345,서울특별시 마포구 상암동 ,서울특별시,마포구,상암동
346,서울특별시 양천구 신정동 ,서울특별시,양천구,신정동
347,서울특별시 양천구 목동 ,서울특별시,양천구,목동
348,서울특별시 양천구 신월동 ,서울특별시,양천구,신월동
349,서울특별시 강서구 염창동 ,서울특별시,강서구,염창동
350,서울특별시 강서구 등촌동 ,서울특별시,강서구,등촌동
351,서울특별시 강서구 화곡동 ,서울특별시,강서구,화곡동
352,서울특별시 강서구 가양동 ,서울특별시,강서구,가양동
353,서울특별시 강서구 마곡동 ,서울특별시,강서구,마곡동
354,서울특별시 강서구 내발산동 ,서울특별시,강서구,내발산동
355,서울특별시 강서구 외발산동 ,서울특별시,강서구,외발산동
356,서울특별시 강서구 공항동 ,서울특별시,강서구,공항동
357,서울특별시 강서구 방화동 ,서울특별시,강서구,방화동
358,서울특별시 강서구 개화동 ,서울특별시,강서구,개화동
359,서울특별시 강서구 과해동 ,서울특별시,강서구,과해동
360,서울특별시 강서구 오곡동 ,서울특별시,강서구,오곡동
361,서울특별시 강서구 오쇠동 ,서울특별시,강서구,오쇠동
362,서울특별시 구로구 신도림동 ,서울특별시,구로구,신도림동
363,서울특별시 구로구 구로동 ,서울특별시,구로구,구로동
364,서울특별시 구로구 가리봉동 ,서울특별시,구로구,가리봉동
365,서울특별시 구로구 고척동 ,서울특별시,구로구,고척동
366,서울특별시 구로구 개봉동 ,서울특별시,구로구,개봉동
367,서울특별시 구로구 오류동 ,서울특별시,구로구,오류동
368,서울특별시 구로구 궁동 ,서울특별시,구로구,궁동
369,서울특별시 구로구 온수동 ,서울특별시,구로구,온수동
370,서울특별시 구로구 천왕동 ,서울특별시,구로구,천왕동
371,서울특별시 구로구 항동 ,서울특별시,구로구,항동
372,서울특별시 금천구 가산동 ,서울특별시,금천구,가산동
373,서울특별시 금천구 독산동 ,서울특별시,금천구,독산동
374,서울특별시 금천구 시흥동 ,서울특별시,금천구,시흥동
375,서울특별시 영등포구 영등포동 ,서울특별시,영등포구,영등포동
376,서울특별시 영등포구 영등포동1가 ,서울특별시,영등포구,영등포동1가
377,서울특별시 영등포구 영등포동2가 ,서울특별시,영등포구,영등포동2가
378,서울특별시 영등포구 영등포동3가 ,서울특별시,영등포구,영등포동3가
379,서울특별시 영등포구 영등포동4가 ,서울특별시,영등포구,영등포동4가
380,서울특별시 영등포구 영등포동5가 ,서울특별시,영등포구,영등포동5가
381,서울특별시 영등포구 영등포동6가 ,서울특별시,영등포구,영등포동6가
382,서울특별시 영등포구 영등포동7가 ,서울특별시,영등포구,영등포동7가
383,서울특별시 영등포구 영등포동8가 ,서울특별시,영등포구,영등포동8가
384,서울특별시 영등포구 여의도동 ,서울특별시,영등포구,여의도동
385,서울특별시 영등포구 당산동1가 ,서울특별시,영등포구,당산동1가
386,서울특별시 영등포구 당산동2가 ,서울특별시,영등포구,당산동2가
387,서울특별시 영등포구 당산동3가 ,서울특별시,영등포구,당산동3가
388,서울특별시 영등포구 당산동4가 ,서울특별시,영등포구,당산동4가
389,서울특별시 영등포구 당산동5가 ,서울특별시,영등포구,당산동5가
390,서울특별시 영등포구 당산동6가 ,서울특별시,영등포구,당산동6가
391,서울특별시 영등포구 당산동 ,서울특별시,영등포구,당산동
392,서울특별시 영등포구 도림동 ,서울특별시,영등포구,도림동
393,서울특별시 영등포구 문래동1가 ,서울특별시,영등포구,문래동1가
394,서울특별시 영등포구 문래동2가 ,서울특별시,영등포구,문래동2가
395,서울특별시 영등포구 문래동3가 ,서울특별시,영등포구,문래동3가
396,서울특별시 영등포구 문래동4가 ,서울특별시,영등포구,문래동4가
397,서울특별시 영등포구 문래동5가 ,서울특별시,영등포구,문래동5가
398,서울특별시 영등포구 문래동6가 ,서울특별시,영등포구,문래동6가
399,서울특별시 영등포구 양평동1가 ,서울특별시,영등포구,양평동1가
400,서울특별시 영등포구 양평동2가 ,서울특별시,영등포구,양평동2가
401,서울특별시 영등포구 양평동3가 ,서울특별시,영등포구,양평동3가
402,서울특별시 영등포구 양평동4가 ,서울특별시,영등포구,양평동4가
403,서울특별시 영등포구 양평동5가 ,서울특별시,영등포구,양평동5가
404,서울특별시 영등포구 양평동6가 ,서울특별시,영등포구,양평동6가
405,서울특별시 영등포구 양화동 ,서울특별시,영등포구,양화동
406,서울특별시 영등포구 신길동 ,서울특별시,영등포구,신길동
407,서울특별시 영등포구 대림동 ,서울특별시,영등포구,대림동
408,서울특별시 영등포구 양평동 ,서울특별시,영등포구,양평동
409,서울특별시 동작구 노량진동 ,서울특별시,동작구,노량진동
410,서울특별시 동작구 상도동 ,서울특별시,동작구,상도동
411,서울특별시 동작구 상도1동 ,서울특별시,동작구,상도1동
412,서울특별시 동작구 본동 ,서울특별시,동작구,본동
